client_id,timestamp,network_speed,packet_loss,jitter,backoff_time
client1,1,33,5,0,165
client1,2,60,3,3,183
client1,3,10,5,1,51
client1,4,90,5,1,451
client1,5,55,3,10,175
client1,6,82,4,1,329
client1,7,46,2,3,95
client1,8,77,8,7,623
client1,9,28,4,3,115
client1,10,44,2,7,95
client1,11,12,4,10,58
client1,12,89,6,5,539
client1,13,6,1,5,11
client1,14,3,0,10,10
client1,15,49,6,5,299
client1,16,81,5,5,410
client1,17,36,0,8,8
client1,18,56,10,4,564
client1,19,29,6,8,182
client1,20,17,8,9,145
client1,21,29,5,9,154
client1,22,89,9,1,802
client1,23,12,8,3,99
client1,24,3,7,9,30
client1,25,82,5,0,410
client1,26,12,10,0,120
client1,27,72,7,3,507
client1,28,25,10,9,259
client1,29,58,4,1,233
client1,30,86,9,6,780
client1,31,54,8,2,434
client1,32,7,1,5,12
client1,33,47,7,1,330
client1,34,32,0,2,2
client1,35,65,9,6,591
client1,36,13,10,0,130
client1,37,84,2,5,173
client1,38,83,8,6,670
client1,39,67,1,10,77
client1,40,7,6,1,43
client1,41,38,0,0,0
client1,42,37,5,7,192
client1,43,23,8,1,185
client1,44,72,4,0,288
client1,45,100,7,3,703
client1,46,97,0,7,7
client1,47,50,6,10,310
client1,48,11,8,5,93
client1,49,9,9,1,82
client1,50,14,1,3,17
client1,51,52,0,10,10
client1,52,90,10,8,908
client1,53,5,0,3,3
client1,54,78,7,6,552
client1,55,16,1,3,19
client1,56,41,6,3,249
client1,57,46,2,5,97
client1,58,13,9,9,126
client1,59,31,2,2,64
client1,60,86,8,7,695
client1,61,30,1,4,34
client1,62,21,2,9,51
client1,63,57,4,10,238
client1,64,49,4,6,202
client1,65,38,1,9,47
client1,66,82,3,5,251
client1,67,22,1,3,25
client1,68,93,10,8,938
client1,69,34,2,1,69
client1,70,80,6,9,489
client1,71,19,4,7,83
client1,72,66,9,4,598
client1,73,12,7,5,89
client1,74,78,1,7,85
client1,75,89,9,8,809
client1,76,87,6,8,530
client1,77,41,1,5,46
client1,78,91,3,1,274
client1,79,81,6,7,493
client1,80,2,0,6,6
client1,81,23,8,4,188
client1,82,29,8,10,242
client1,83,19,5,3,98
client1,84,98,1,1,99
client1,85,30,7,3,213
client1,86,8,3,6,30
client1,87,92,0,0,0
client1,88,0,10,4,4
client1,89,95,2,9,199
client1,90,85,6,8,518
client1,91,73,4,6,298
client1,92,4,0,2,2
client1,93,14,7,0,98
client1,94,14,9,0,126
client1,95,29,5,8,153
client1,96,97,4,9,397
client1,97,26,10,8,268
client1,98,0,3,5,5
client1,99,95,6,1,571
client1,100,34,5,9,179
client2,1,75,2,0,150
client2,2,12,6,5,77
client2,3,7,7,1,50
client2,4,54,4,7,223
client2,5,69,5,3,348
client2,6,19,8,10,162
client2,7,13,0,2,2
client2,8,94,1,10,104
client2,9,14,3,10,52
client2,10,34,9,8,314
client2,11,31,1,5,36
client2,12,80,10,9,809
client2,13,56,2,8,120
client2,14,1,4,1,5
client2,15,69,3,5,212
client2,16,38,4,6,158
client2,17,43,7,7,308
client2,18,17,6,4,106
client2,19,69,1,2,71
client2,20,16,3,7,55
client2,21,19,1,5,24
client2,22,0,5,0,0
